"Código";"Descripción";"Proveedor";"Familia";"Curva de talles";"Categoría";"Clasificación";"Tipo"
"TDJ11459601";"JEAN SKYLAR T-ALTO CALCE LOOSE";"01";"02";"00";"01";"99";"10"
"TDJ11465525";"JEAN SENSE T-MEDIO OXFROD";"01";"02";"02";"01";"99";"08"
"TDJ11465705";"JEAN SENSE T-MEDIO OXFROD";"01";"02";"02";"01";"99";"08"
"TDJ11465706";"JEAN SENSE T-MEDIO OXFROD";"01";"02";"02";"01";"99";"08"
"TDJ11471205";"JEAN  ENERGY GOLD MODERN T-MEDIO SKINNY";"01";"02";"02";"01";"12";"08"
"TDJ11471601";"JEAN BCO ENERGY GOLD MODERN T-MEDIO SKINNY";"01";"02";"02";"01";"12";"08"
"TDJ11473570";"JEAN ENERGY GLOD CLASSIC T-MEDIO SKINNY";"01";"02";"02";"01";"12";"08"
"TDJ11477207";"JEAN ASHANTI T-ALTO SKINNY ENERGY ELAST";"01";"02";"02";"01";"12";"10"
"TDJ11477236";"JEAN ASHANTI T-ALTO SKINNY ENERGY ELAST";"01";"02";"02";"01";"12";"10"
"TDJ11477525";"JEAN ASHANTI T-ALTO SKINNY ENERGY ELAST";"01";"02";"02";"01";"12";"10"
"TDJ11479601";"JEAN NAINA T-ALTO LOOSE BOT ANCHA REG";"01";"02";"02";"01";"10";"10"
"TDJ11479920";"JEAN NAINA T-ALTO LOOSE BOT ANCHA REG";"01";"02";"02";"01";"10";"10"
"TDJ11479931";"JEAN NAINA T-ALTO LOOSE BOT ANCHA REG";"01";"02";"02";"01";"10";"10"
"TDJ11479931OFF";"FALLA JEAN NAINA T-ALTO LOOSE BOT ANCHA REG";"01";"02";"02";"01";"10";"10"
"TDJ11495236";"JEAN CLAUDINE T-ALTO SKINNY";"01";"02";"02";"01";"99";"10"
"TDJ11507920";"JEAN T-ALTO CALCE MOM";"01";"02";"02";"01";"99";"10"
"TDJ11513503";"JEAN RANIA T-MEDIO SLIM ELAST";"01";"02";"02";"01";"11";"08"
"TDJ11513601";"JEAN RANIA T-MEDIO SLIM ELAST";"01";"02";"02";"01";"11";"08"
"TDJ11517505";"JEAN BLOOM T-MEDIO REG ELAST";"01";"02";"02";"01";"10";"08"
"TDJ11517505OFF";"FALLA JEAN BLOOM T-MEDIO REG ELAST ESPECIAL";"01";"02";"02";"01";"10";"08"
"TDJ11517525";"JEAN BLOOM T-MEDIO REG ELAST";"01";"02";"02";"01";"10";"08"
"TDJ11517525E";"JEAN BLOOM T-MEDIO REG ELAST ESPECIAL";"01";"02";"02";"01";"10";"08"
"TDJ11517525EOFF";"FALLA JEAN BLOOM T-MEDIO REG ELAST ESPECIAL";"01";"02";"02";"01";"10";"08"
"TDJ11527920";"JEAN ETONIAN II T-INTER CHUPIN ENERGY ELAST";"01";"02";"02";"01";"12";"09"
"TDJ11531711";"TIRO MEDIO SKINNY";"01";"02";"02";"01";"12";"08"
"TDJ11535237";"JEAN ENERGY MALAKAI T-MEDIO SKINNY";"01";"02";"02";"01";"12";"08"
